Address,Value
0x00000000,0x01A00006
0x00000004,0x01600400
0x00000008,0x00400000
0x0000000C,0x00600000
0x00000010,0x00800000
0x00000014,0x00A00000
0x00000018,0x00C00000
0x0000001C,0x00E00000
0x00000020,0x01000000
0x00000024,0x01200000
0x00000028,0x03200080
0x0000002C,0x01800000
0x00000030,0x80160000
0x00000034,0x80360004
0x00000038,0x78AAA000
0x0000003C,0xC220FFFF
0x00000040,0x00400000
0x00000044,0x02407F80
0x00000048,0x76604000
0x0000004C,0xC2000104
0x00000050,0x76824000
0x00000054,0xC200010C
0x00000058,0x75C64000
0x0000005C,0xC200010C
0x00000060,0x75C84000
0x00000064,0xC2000114
0x00000068,0x0040FFFF
0x0000006C,0x0240007F
0x00000070,0x66A04000
0x00000074,0x66C24000
0x00000078,0x68AB2000
0x0000007C,0x68CD2000
0x00000080,0x0A660017
0x00000084,0x0A880017
0x00000088,0x0040FFFF
0x0000008C,0x024000FF
0x00000090,0x75C68000
0x00000094,0xC2000034
0x00000098,0xC2800020
0x0000009C,0x22880001
0x000000A0,0x0ACC0001
0x000000A4,0x75C68000
0x000000A8,0xC220FFF4
0x000000AC,0x01400004
0x000000B0,0x1D400000
0x000000B4,0xC3A00014
0x000000B8,0x22660001
0x000000BC,0x0AAA0001
0x000000C0,0x75C68000
0x000000C4,0xC220FFF4
0x000000C8,0x35C00000
0x000000CC,0xC2800018
0x000000D0,0x35C20000
0x000000D4,0xC2800024
0x000000D8,0x01400000
0x000000DC,0x1D400000
0x000000E0,0xC3400020
0x000000E4,0x6CAA0000
0x000000E8,0x22AA0001
0x000000EC,0x01400004
0x000000F0,0x1D400000
0x000000F4,0xC320FFDC
0x000000F8,0x6CCC0000
0x000000FC,0x22CC0001
0x00000100,0x72EAC000
0x00000104,0xC2A00014
0x00000108,0x6CEE0000
0x0000010C,0x22EE0001
0x00000110,0x01000000
0x00000114,0x03008000
0x00000118,0x75C4E000
0x0000011C,0xC2A00018
0x00000120,0x0AEE0001
0x00000124,0x22660001
0x00000128,0x01400002
0x0000012C,0x1D400000
0x00000130,0xC300FFE8
0x00000134,0x75CF2000
0x00000138,0xC2A00088
0x0000013C,0x08EE0001
0x00000140,0x24660001
0x00000144,0x01400000
0x00000148,0x1D400000
0x0000014C,0xC2E0FFE8
0x00000150,0x23820000
0x00000154,0x01400001
0x00000158,0x1D400000
0x0000015C,0xC2C00078
0x00000160,0x23800000
0x00000164,0xC0000070
0x00000168,0x75C84000
0x0000016C,0xC2000018
0x00000170,0x23800000
0x00000174,0xC0000060
0x00000178,0x23820000
0x0000017C,0xC0000058
0x00000180,0x0040FFFF
0x00000184,0x0240007F
0x00000188,0x76A04000
0x0000018C,0xC2200028
0x00000190,0x76C24000
0x00000194,0xC2200020
0x00000198,0x75C02000
0x0000019C,0xC200FFDC
0x000001A0,0x01800000
0x000001A4,0x01400000
0x000001A8,0x1D400000
0x000001AC,0xC2600028
0x000001B0,0x01800000
0x000001B4,0x03807FC0
0x000001B8,0xC000001C
0x000001BC,0x0040FFFF
0x000001C0,0x0240007F
0x000001C4,0x66EE4000
0x000001C8,0x08660017
0x000001CC,0x69906000
0x000001D0,0x6998E000
0x000001D4,0x83960008
0x000001D8,0x2376000C
0x000001DC,0x25BA0001
0x000001E0,0x71DBA000
0x000001E4,0xC220FE24
0x000001E8,0xD0000000
0x00000400,0xC1200000
0x00000404,0xC1200000
0x00000408,0xC1A00000
0x0000040C,0xC1200000
0x00000410,0x40400000
0x00000414,0xC0E00000
0x0000041C,0xC1200000
0x00000420,0xC1200000
0x00000424,0x7F800000
0x00000428,0xFF800000
0x00000430,0x7F810000
0x00000434,0xFF800000
0x00000438,0x7FC00000
0x0000043C,0x40200000
0x00000440,0x3FF00000
0x00000444,0x408C0000
