Address,Value
0x00000000,0x04800000
0x00000004,0x22880400
0x00000008,0x04a00000
0x0000000c,0x22aa000a
0x00000010,0x04c00000
0x00000014,0x22cc0500
0x00000018,0x80080000
0x0000001c,0x22200000
0x00000020,0x22400000
0x00000024,0x22880004
0x00000028,0x24aa0001
0x0000002c,0x34ea0000
0x00000030,0xc200003c
0x00000034,0x80080000
0x00000038,0x72620000
0x0000003c,0x74e60000
0x00000040,0xc360000c
0x00000044,0x22260000
0x00000048,0xc0000008
0x0000004c,0x22200000
0x00000050,0x74e24000
0x00000054,0xc3a00008
0x00000058,0x22420000
0x0000005c,0x22880004
0x00000060,0x24aa0001
0x00000064,0x32ea0000
0x00000068,0xc220ffc4
0x0000006c,0x824c0000
0x00000070,0xd0000000
0x00000074,0xxxxxxxxx
0x00000078,0xxxxxxxxx
0x0000007c,0xxxxxxxxx
0x00000080,0xxxxxxxxx
0x00000084,0xxxxxxxxx
0x00000088,0xxxxxxxxx
0x0000008c,0xxxxxxxxx
0x00000090,0xxxxxxxxx
0x00000094,0xxxxxxxxx
0x00000098,0xxxxxxxxx
0x0000009c,0xxxxxxxxx
0x000000a0,0xxxxxxxxx
0x000000a4,0xxxxxxxxx
0x000000a8,0xxxxxxxxx
0x000000ac,0xxxxxxxxx
0x000000b0,0xxxxxxxxx
0x000000b4,0xxxxxxxxx
0x000000b8,0xxxxxxxxx
0x000000bc,0xxxxxxxxx
0x000000c0,0xxxxxxxxx
0x000000c4,0xxxxxxxxx
0x000000c8,0xxxxxxxxx
0x000000cc,0xxxxxxxxx
0x000000d0,0xxxxxxxxx
0x000000d4,0xxxxxxxxx
0x000000d8,0xxxxxxxxx
0x000000dc,0xxxxxxxxx
0x000000e0,0xxxxxxxxx
0x000000e4,0xxxxxxxxx
0x000000e8,0xxxxxxxxx
0x000000ec,0xxxxxxxxx
0x000000f0,0xxxxxxxxx
0x000000f4,0xxxxxxxxx
0x000000f8,0xxxxxxxxx
0x000000fc,0xxxxxxxxx
0x00000100,0xxxxxxxxx
0x00000104,0xxxxxxxxx
0x00000108,0xxxxxxxxx
0x0000010c,0xxxxxxxxx
0x00000110,0xxxxxxxxx
0x00000114,0xxxxxxxxx
0x00000118,0xxxxxxxxx
0x0000011c,0xxxxxxxxx
0x00000120,0xxxxxxxxx
0x00000124,0xxxxxxxxx
0x00000128,0xxxxxxxxx
0x0000012c,0xxxxxxxxx
0x00000130,0xxxxxxxxx
0x00000134,0xxxxxxxxx
0x00000138,0xxxxxxxxx
0x0000013c,0xxxxxxxxx
0x00000140,0xxxxxxxxx
0x00000144,0xxxxxxxxx
0x00000148,0xxxxxxxxx
0x0000014c,0xxxxxxxxx
0x00000150,0xxxxxxxxx
0x00000154,0xxxxxxxxx
0x00000158,0xxxxxxxxx
0x0000015c,0xxxxxxxxx
0x00000160,0xxxxxxxxx
0x00000164,0xxxxxxxxx
0x00000168,0xxxxxxxxx
0x0000016c,0xxxxxxxxx
0x00000170,0xxxxxxxxx
0x00000174,0xxxxxxxxx
0x00000178,0xxxxxxxxx
0x0000017c,0xxxxxxxxx
0x00000180,0xxxxxxxxx
